[2026-09-02 16:06:15] Waiting for PyTorch CUDA to finish installing...
[2026-09-02 16:06:15] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:07:16] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:08:16] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:09:16] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:10:16] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:11:16] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:12:17] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:13:17] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:14:19] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:15:19] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:16:19] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:17:19] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:18:21] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:20:25] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:21:33] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:22:39] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:23:47] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:24:55] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:26:25] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:27:30] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:28:43] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:29:48] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:30:53] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:31:56] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:33:01] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:34:05] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:35:09] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:36:15] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:37:24] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:38:28] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:39:33] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:40:37] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:41:41] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:42:46] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:44:00] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:45:04] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:46:10] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:47:13] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:48:23] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:49:29] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:50:33] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:51:42] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:52:45] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:53:56] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:55:00] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:56:05] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:57:17] PyTorch not ready yet. Waiting 60 seconds...
[2026-09-02 16:58:30] PyTorch not ready yet. Waiting 60 seconds...
